Text16;Текст3;Text14;Text18;Text17;Текст5;Text23;Text24
Организация;;;Демо;;;;
Группа;;;Грузовые;;;;
Наименование;;;Камаз трололо );;;Минимальная продолжительность стоянки;0:01:00
Регистрационный №;;;д 555 дд;;;;
Позывной;;;Мусоровоз;;;;
№;Период стоянки с;;Период стоянки по;;Продолжи- тельность;Место стоянки;
;Дата;Время;Дата;Время;;;
40;16.08.2013;06:08:46;16.08.2013;06:14:36;0:05:50;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";
41;16.08.2013;06:14:52;16.08.2013;06:18:30;0:03:38;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";
42;16.08.2013;06:27:46;16.08.2013;06:35:47;0:08:01;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21""";
43;16.08.2013;06:40:41;16.08.2013;06:41:59;0:01:18;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07""";
44;16.08.2013;06:43:21;16.08.2013;06:46:28;0:03:07;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97""";
45;16.08.2013;06:46:48;16.08.2013;06:49:47;0:02:59;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51""";
46;16.08.2013;06:51:47;16.08.2013;06:53:21;0:01:34;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33""";
47;16.08.2013;06:53:25;16.08.2013;06:56:13;0:02:48;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85""";
48;16.08.2013;06:58:19;16.08.2013;07:01:56;0:03:37;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23""";
49;16.08.2013;07:43:46;16.08.2013;07:46:09;0:02:23;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18""";
50;16.08.2013;07:48:07;16.08.2013;07:50:24;0:02:17;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78""";
51;16.08.2013;07:51:08;16.08.2013;07:56:44;0:05:36;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03""";
52;16.08.2013;07:57:44;16.08.2013;08:16:48;0:19:04;Точка №3 тупичёк за озером.;
53;16.08.2013;08:44:10;16.08.2013;09:13:54;0:29:44;Хоз двор. Место где находится гараж.;
54;16.08.2013;09:18:20;16.08.2013;09:25:12;0:06:52;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08""";
55;16.08.2013;09:25:58;16.08.2013;09:37:42;0:11:44;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68""";
56;16.08.2013;09:39:03;16.08.2013;09:43:37;0:04:34;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70""";
57;16.08.2013;09:44:03;16.08.2013;10:13:53;0:29:50;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66""";
