Text37;Текст4;Text36;Текст5;Text1;Text2;Text3;Text44;Text20;Text38;Text23;Text39;Text42
Организация;;Демо;;;;;;;;;;
Группа;;Грузовые;;;;;;;Ёмкость №1;;якБак ;
Наименование;;ЗИЛ на склад его;;;;;;;№2;;Цистерна;
Рег. №;;з 12345 зzzз;;;;;;;№3;;Емкость 3;
Позывной;;Бензовоз;;;;;;;№4;;;
№;Дата и время;;Датчик  уровня  топлива  №1;Датчик  уровня  топлива  №2;Датчик  уровня  топлива  №3;Датчик  уровня  топлива  №4;Уровень  топлива  (Емкость 3);Уровень  топлива  (якБак);Уровень  топлива  ();Уровень  топлива  ();Д;П
80;18.08.2013 11:15:00;;0;0;0;0;0;103;0;0;0;1
81;18.08.2013 12:00:00;;0;0;0;0;0;97;0;0;1;1
82;18.08.2013 12:45:00;;0;0;0;0;0;92;0;0;1;1
83;18.08.2013 13:30:00;;0;0;0;0;0;94;0;0;0;0
84;18.08.2013 14:15:00;;0;0;0;0;0;94;0;0;0;0
85;18.08.2013 15:00:00;;0;0;0;0;0;97;0;0;0;1
86;18.08.2013 15:45:00;;0;0;0;0;0;95;0;0;0;1
87;18.08.2013 16:30:00;;0;0;0;0;0;95;0;0;0;0
88;18.08.2013 17:15:00;;0;0;0;0;0;95;0;0;0;0
89;18.08.2013 18:00:00;;0;0;0;0;0;95;0;0;0;0
90;18.08.2013 18:45:00;;0;0;0;0;0;94;0;0;0;1
91;18.08.2013 19:30:00;;0;0;0;0;0;94;0;0;0;0
92;18.08.2013 20:15:00;;0;0;0;0;0;94;0;0;0;0
93;18.08.2013 21:00:00;;0;0;0;0;0;94;0;0;0;0
94;18.08.2013 21:45:00;;0;0;0;0;0;92;0;0;0;1
95;18.08.2013 22:30:00;;0;0;0;0;0;92;0;0;0;0
96;18.08.2013 23:15:00;;0;0;0;0;0;92;0;0;0;0
